"Sl. No.","C O N T E N T S","Page
No."
"1","Crime Review on – 1) Murder 2) Dacoity 3) Robbery 4) Burglary
5) Theft 6) Riots 7) Hurt 8) Spl. & local laws 9) Crime against
Women 10) POCSO 11) SC & ST POA Act 12) Security cases
13) Cyber Crimes 14) Economic Offences & 15) MMDR & KMMCR
16) Motor Vehicles Theft Cases 17) NDPS Cases","1-17"
"2","District-wise Reported cases under various heads for the month of February – 2026","18"
"3","Crime Statistics – IPC/BNS Crimes","19-29"
"4","Crime Statistics – Special & Local laws","29-34"
"5","Crime Statistics – Crime against Women","35"
"6","Crime Statistics – Crime against Children","36"
"7","Crime Statistics – Crime against SC & ST","37"
"8","Crime Statistics – Road Accidents","38"
"9","Commissionerate & Range Wise IPC/BNS & SLL Cases","39"
"10","Commissionerate & Range Wise Major heads Cases","40 & 41"
"11","Unit-wise report on Receipts & Disposals under SAKALA services","42-43"
"12","Comparative Crime Statement – 17","44-45"
"13","e-Sign details – FIR & Chargesheet","46-47"
"14","Police IT MT Module log book details","48-50"
"15","Seva Sindhu – February month report","51"
"16","District Wise COTPA Statistics","52"
"Month","Year","Murder for gain","Other
Murders","Total Murder"
"February","2026","3","70","73"
"January","2026","5","95","100"
"February","2025","3","99","102"
"Month","Year","Dacoity Cases"
"February","2026","14"
"January","2026","6"
"February","2025","9"
"Name of the unit","No. of cases","Name of the unit","No. of cases"
"Belagavi District","2","Shivamogga District","2"
"Uttara Kannada District","2","Bengaluru City","1"
"Mangalore City","1","Kalaburgi District","1"
"Haveri District","1","Kolar District","1"
"Koppal District","1","Mysore District","1"
"Raichur District","1","",""
"Month","Year","Chain
Snatching","Robbery (Except Chain Snatching)","Total Robbery"
"February","2026","33","53","86"
"January","2026","27","64","91"
"February","2025","37","43","80"
"Month","Year","Burglary Night","Burglary Day","Total"
"February","2026","291","89","380"
"January","2026","355","86","441"
"February","2025","316","72","388"
"Month","Year","Reported"
"February","2026","1637"
"January","2026","1745"
"February","2025","1636"
"Month","Year","Riots"
"February","2026","268"
"January","2026","318"
"February","2025","273"
"Month","Year","Cases of Hurt"
"February","2026","1418"
"January","2026","1445"
"February","2025","1217"
"Month","Year","Special & Local Laws"
"February","2026","5304"
"January","2026","5930"
"February","2025","4308"
"Month","Year","Rape","Dowry Death"
"February","2026","41","5"
"January","2026","45","12"
"February","2025","60","9"
"Month","Year","POCSO"
"February","2026","341"
"January","2026","361"
"February","2025","348"
