Sl No,Heads of Crime,Current Year To Date,Corresponding Month Prev Year,Previous Month,Current Month (Jan 2026)
1,Murder,5,10,8,5
2,Rape,9,10,5,9
3,Kidnapping,15,13,14,15
4,Offences under Protection of Civil Rights Act,0,0,0,0
5,Offences under SC & ST (POA) Act 1989,194,140,222,194
,Total (Item 1 to 5),223,173,249,223
